mq2,Water Level,Methane (ppm),CO2 (ppm),Dates,Time,Methane Alert,CO2 Alert
674,96.0,823.67,1795.5,2022-10-03,00:00:00,False,False
646,23.7,638.62,2126.28,2022-10-03,00:30:00,False,False
590,59.5,282.14,2731.83,2022-10-03,01:00:00,False,False
627,8.1,481.28,1657.19,2022-10-03,01:30:00,False,False
896,96.1,1893.27,3234.94,2022-10-03,02:00:00,True,True
588,25.3,703.7,1464.45,2022-10-03,02:30:00,False,False
646,46.5,130.7,2630.22,2022-10-03,03:00:00,False,False
873,16.3,3727.84,9070.5,2022-10-03,03:30:00,True,True
768,45.0,2766.57,5244.17,2022-10-03,04:00:00,True,True
1068,72.8,2803.17,3599.93,2022-10-03,04:30:00,True,True
682,62.4,285.9,2163.84,2022-10-03,05:00:00,False,False
622,14.0,751.46,1754.17,2022-10-03,05:30:00,False,False
746,97.3,5394.65,7088.12,2022-10-03,06:00:00,True,True
666,14.0,121.81,992.7,2022-10-03,06:30:00,False,False
648,17.7,237.09,831.7,2022-10-03,07:00:00,False,False
598,83.7,380.69,1463.82,2022-10-03,07:30:00,False,False
574,7.3,191.39,1554.2,2022-10-03,08:00:00,False,False
571,20.2,491.24,2376.34,2022-10-03,08:30:00,False,False
565,95.9,270.73,1176.44,2022-10-03,09:00:00,False,False
570,51.4,985.53,2124.24,2022-10-03,09:30:00,False,False
580,51.4,116.04,1323.94,2022-10-03,10:00:00,False,False
562,92.8,281.15,2573.45,2022-10-03,10:30:00,False,False
553,36.4,292.88,1746.41,2022-10-03,11:00:00,False,False
555,43.8,689.75,2108.85,2022-10-03,11:30:00,False,False
553,89.9,805.47,1697.49,2022-10-03,12:00:00,False,False
575,75.8,541.98,2325.74,2022-10-03,12:30:00,False,False
562,98.3,475.97,1308.42,2022-10-03,13:00:00,False,False
581,53.3,834.62,1757.72,2022-10-03,13:30:00,False,False
558,10.3,417.02,1820.21,2022-10-03,14:00:00,False,False
846,18.5,3392.62,5961.04,2022-10-03,14:30:00,True,True
1046,19.8,5531.92,6826.32,2022-10-03,15:00:00,True,True
1119,92.4,9842.1,8457.4,2022-10-03,15:30:00,True,True
1042,49.9,3200.95,3897.78,2022-10-03,16:00:00,True,True
1105,35.0,6467.81,9700.37,2022-10-03,16:30:00,True,True
1168,26.6,6988.74,3848.26,2022-10-03,17:00:00,True,True
1150,31.1,6852.58,5767.68,2022-10-03,17:30:00,True,True
1059,58.0,5633.17,9622.96,2022-10-03,18:00:00,True,True
1022,27.3,3508.65,7540.56,2022-10-03,18:30:00,True,True
1006,95.6,7081.02,9164.73,2022-10-03,19:00:00,True,True
793,89.8,9667.93,5270.01,2022-10-03,19:30:00,True,True
823,67.9,4125.77,4357.71,2022-10-03,20:00:00,True,True
824,20.6,8184.07,5074.95,2022-10-03,20:30:00,True,True
810,51.2,4273.86,3272.39,2022-10-03,21:00:00,True,True
794,18.9,6984.02,8114.22,2022-10-03,21:30:00,True,True
775,7.9,8800.7,4371.83,2022-10-03,22:00:00,True,True
762,32.6,7043.74,4501.41,2022-10-03,22:30:00,True,True
772,94.6,3462.35,8926.81,2022-10-03,23:00:00,True,True
786,7.5,9629.51,4880.22,2022-10-03,23:30:00,True,True
791,71.5,6438.16,6637.3,2022-10-04,00:00:00,True,True
769,89.2,5942.49,6198.39,2022-10-04,00:30:00,True,True
867,28.3,7671.25,9399.55,2022-10-04,01:00:00,True,True
805,73.1,3888.07,7410.58,2022-10-04,01:30:00,True,True
775,76.0,6494.43,9561.88,2022-10-04,02:00:00,True,True
744,79.4,3201.86,9864.36,2022-10-04,02:30:00,True,True
733,63.0,8101.05,5988.42,2022-10-04,03:00:00,True,True
788,16.5,3162.69,3144.06,2022-10-04,03:30:00,True,True
757,85.6,2374.41,7458.32,2022-10-04,04:00:00,True,True
685,29.3,937.71,1152.37,2022-10-04,04:30:00,False,False
705,26.4,616.74,1099.01,2022-10-04,05:00:00,False,False
692,72.7,319.91,2200.41,2022-10-04,05:30:00,False,False
519,52.8,43.11,434.37,2022-10-04,06:00:00,False,False
516,58.7,38.43,420.92,2022-10-04,06:30:00,False,False
527,48.8,12.13,214.53,2022-10-04,07:00:00,False,False
527,41.4,90.78,667.7,2022-10-04,07:30:00,False,False
518,38.5,23.91,489.93,2022-10-04,08:00:00,False,False
551,73.0,172.0,1449.85,2022-10-04,08:30:00,False,False
496,5.2,84.39,477.1,2022-10-04,09:00:00,False,False
548,92.0,50.87,721.25,2022-10-04,09:30:00,False,False
550,70.3,70.32,448.34,2022-10-04,10:00:00,False,False
548,12.7,98.04,457.54,2022-10-04,10:30:00,False,False
578,53.0,688.15,1507.08,2022-10-04,11:00:00,False,False
538,38.3,10.74,665.86,2022-10-04,11:30:00,False,False
548,42.9,54.45,406.16,2022-10-04,12:00:00,False,False
543,74.4,98.6,401.32,2022-10-04,12:30:00,False,False
548,61.0,28.91,312.63,2022-10-04,13:00:00,False,False
525,64.0,19.17,470.0,2022-10-04,13:30:00,False,False
548,51.5,49.96,486.13,2022-10-04,14:00:00,False,False
579,37.6,155.5,2746.23,2022-10-04,14:30:00,False,False
517,30.7,40.49,606.9,2022-10-04,15:00:00,False,False
548,28.9,52.33,764.14,2022-10-04,15:30:00,False,False
513,29.3,41.36,636.94,2022-10-04,16:00:00,False,False
548,64.9,91.03,686.59,2022-10-04,16:30:00,False,False
523,50.0,79.92,314.65,2022-10-04,17:00:00,False,False
610,96.6,315.16,1021.98,2022-10-04,17:30:00,False,False
658,32.8,983.57,1699.27,2022-10-04,18:00:00,False,False
684,71.5,437.26,2481.53,2022-10-04,18:30:00,False,False
633,37.3,368.56,1427.56,2022-10-04,19:00:00,False,False
650,87.0,148.09,1359.39,2022-10-04,19:30:00,False,False
640,57.3,124.16,1895.82,2022-10-04,20:00:00,False,False
631,50.9,777.52,1824.73,2022-10-04,20:30:00,False,False
676,53.9,926.08,2554.51,2022-10-04,21:00:00,False,False
685,46.3,165.93,1708.93,2022-10-04,21:30:00,False,False
623,95.4,282.42,2984.21,2022-10-04,22:00:00,False,False
632,48.0,408.77,2571.23,2022-10-04,22:30:00,False,False
629,93.4,242.4,1393.18,2022-10-04,23:00:00,False,False
506,62.4,30.28,655.57,2022-10-04,23:30:00,False,False
501,96.8,19.79,320.31,2022-10-05,00:00:00,False,False
520,58.8,33.44,284.62,2022-10-05,00:30:00,False,False
516,43.2,19.78,573.15,2022-10-05,01:00:00,False,False
492,30.6,24.49,735.26,2022-10-05,01:30:00,False,False
476,22.6,71.48,505.25,2022-10-05,02:00:00,False,False
541,60.9,84.1,608.24,2022-10-05,02:30:00,False,False
524,56.3,39.67,627.82,2022-10-05,03:00:00,False,False
528,15.7,77.73,530.82,2022-10-05,03:30:00,False,False
546,77.5,56.1,534.81,2022-10-05,04:00:00,False,False
538,89.0,71.88,360.34,2022-10-05,04:30:00,False,False
552,28.3,850.96,1367.37,2022-10-05,05:00:00,False,False
520,21.9,43.49,442.96,2022-10-05,05:30:00,False,False
524,75.2,62.91,235.4,2022-10-05,06:00:00,False,False
521,69.9,66.07,459.1,2022-10-05,06:30:00,False,False
